date, value
1921,12.30 
1922,21.50 
1923,-2.70 
1924,26.16 
1925,25.37 
1926,4.05 
1927,27.67 
1928,49.48 
1929,-17.17 
1930,-33.77 
1931,-52.67 
1932,-23.07 
1933,66.69 
1934,4.14 
1935,38.53 
1936,24.82 
1937,-32.82 
1938,28.06 
1939,-2.92 
1940,-12.72 
1941,-15.38 
1942,7.61 
1943,13.81 
1944,12.09 
1945,26.65 
1946,-8.14 
1947,2.23 
1948,-2.13 
1949,12.88 
1950,17.63 
1951,14.37 
1952,8.42 
1953,-3.77 
1954,43.96 
1955,20.77 
1956,2.27 
1957,-12.77 
1958,33.96 
1959,16.40 
1960,-9.34 
1961,18.71 
1962,-10.81 
1963,17.00 
1964,14.57 
1965,10.88 
1966,-18.94 
1967,15.20 
1968,4.27 
1969,-15.19 
1970,4.82 
1971,6.11 
1972,14.58 
1973,-16.58 
1974,-27.57 
1975,38.32 
1976,17.86 
1977,-17.27 
1978,-3.15 
1979,4.19 
1980,14.93 
1981,-9.23 
1982,19.60 
1983,20.27 
1984,-3.74 
1985,27.66 
1986,22.58 
1987,2.26 
1988,11.85 
1989,26.96 
1990,-4.34 
1991,20.32 
1992,4.17 
1993,13.72 
1994,2.14 
1995,33.45 
1996,26.01 
1997,22.64 
1998,16.10 
1999,25.22 
2000,-6.17 
2001,-7.10 
2002,-16.76 
2003,25.32 
2004,3.15 
2005,-0.61 
2006,16.29 
2007,6.43 
2008,-33.84 
2009,18.82 
2010,11.02 
2011,5.53 
2012,7.26 
2013,26.50 
2014,7.52 
2015,-2.23 
2016,13.42 
2017,25.08 
2018,-5.63 
2019,22.34 
2020,-14.69 